diyogon 36347 Sun Aug 28 17:38:11 2016

Avatar 0:(4,34) Moving north.
0:(4,33) 1:(17,21) 2:(3,30) Avatar 1:(17,21) Moving north.
0:(19,26) 1:(18,19) 2:(18,19) Avatar 0:(19,26) Moving north.
0:(19,26) 1:(18,19) 2:(18,19) Avatar 1:(18,19) Sleeping.
0:(19,26) 1:(18,19) 2:(18,19) Avatar 2:(18,19) Moving south.
0:(19,26) 1:(18,19) 2:(18,20) Avatar 0:(19,26) Moving east.
0:(20,26) 1:(18,19) 2:(18,20) Avatar 1:(18,19) Moving south.
0:(20,26) 1:(18,20) 2:(18,20) Avatar 2:(18,20) Moving west.
0:(20,26) 1:(18,20) 2:(17,20) Avatar 0:(20,26) Moving east.
0:(21,26) 1:(18,20) 2:(17,20) Avatar 1:(18,20) Moving west.
0:(21,26) 1:(17,20) 2:(17,20) Avatar 2:(17,20) Moving west.
0:(21,26) 1:(17,20) 2:(17,20) Avatar 0:(21,26) Moving south.
0:(21,27) 1:(17,20) 2:(17,20) Avatar 1:(17,20) Sleeping.
0:(21,27) 1:(17,20) 2:(17,20) Avatar 2:(17,20) Moving south.
0:(21,27) 1:(17,20) 2:(17,21) Avatar 0:(21,27) Moving east.
0:(22,27) 1:(17,20) 2:(17,21) Avatar 1:(17,20) Moving south.
0:(22,27) 1:(17,21) 2:(17,21) Avatar 2:(17,21) Moving east.
0:(22,27) 1:(17,21) 2:(17,21) Avatar 0:(22,27) Moving east.
0:(23,27) 1:(17,21) 2:(17,21) Avatar 1:(17,21) Sleeping.
0:(23,27) 1:(17,21) 2:(17,21) Avatar 2:(17,21) Moving south.
0:(23,27) 1:(17,21) 2:(17,21) Avatar 0:(23,27) Moving south.
0:(23,28) 1:(17,21) 2:(17,21) Avatar 1:(17,21) Sleeping.
0:(23,28) 1:(17,21) 2:(17,21) Avatar 2:(17,21) Moving west.
0:(23,28) 1:(17,21) 2:(16,21) Avatar 0:(23,28) Moving east.
0:(24,28) 1:(17,21) 2:(16,21) Avatar 1:(17,21) Moving west.
0:(24,28) 1:(16,21) 2:(16,21) Avatar 2:(16,21) Moving north.
0:(24,28) 1:(16,21) 2:(16,21) Avatar 0:(24,28) Moving east.
0:(25,28) 1:(16,21) 2:(16,21) Avatar 1:(16,21) Sleeping.
0:(25,28) 1:(16,21) 2:(16,21) Avatar 2:(16,21) Moving south.
0:(25,28) 1:(16,21) 2:(16,22) Avatar 0:(25,28) Moving north.
0:(25,28) 1:(16,21) 2:(16,22) Avatar 1:(16,21) Moving south.
0:(25,28) 1:(16,22) 2:(16,22) Avatar 2:(16,22) Moving east.
0:(25,28) 1:(16,22) 2:(16,22) Avatar 0:(25,28) Moving east.
0:(26,28) 1:(16,22) 2:(16,22) Avatar 1:(16,22) Sleeping.
0:(26,28) 1:(16,22) 2:(16,22) Avatar 2:(16,22) Moving south.
0:(26,28) 1:(16,22) 2:(16,23) Avatar 0:(26,28) Moving north.
0:(26,28) 1:(16,22) 2:(16,23) Avatar 1:(16,22) Moving south.
0:(26,28) 1:(16,23) 2:(16,23) Avatar 2:(16,23) Moving east.
0:(26,28) 1:(16,23) 2:(17,23) Avatar 0:(26,28) Moving east.
0:(27,28) 1:(16,23) 2:(17,23) Avatar 1:(16,23) Moving east.
0:(27,28) 1:(17,23) 2:(17,23) Avatar 2:(17,23) Moving north.
0:(27,28) 1:(17,23) 2:(17,22) Avatar 0:(27,28) Moving north.
0:(27,28) 1:(17,23) 2:(17,22) Avatar 1:(17,23) Moving north.
0:(27,28) 1:(17,22) 2:(17,22) Avatar 2:(17,22) Moving east.
0:(27,28) 1:(17,22) 2:(17,22) Avatar 0:(27,28) Moving east.
0:(28,28) 1:(17,22) 2:(17,22) Avatar 1:(17,22) Moving south.
0:(28,28) 1:(17,23) 2:(17,22) Avatar 2:(17,22) Moving south.
0:(28,28) 1:(17,23) 2:(17,23) Avatar 0:(28,28) Moving north.
0:(28,28) 1:(17,23) 2:(17,23) Avatar 1:(17,23) Sleeping.
0:(28,28) 1:(17,23) 2:(17,23) Avatar 2:(17,23) Moving east.
0:(28,28) 1:(17,23) 2:(17,23) Avatar 0:(28,28) Moving east.
0:(28,28) 1:(17,23) 2:(17,23) Avatar 1:(17,23) Sleeping.
0:(28,28) 1:(17,23) 2:(17,23) Avatar 2:(17,23) Moving south.
0:(28,28) 1:(17,23) 2:(17,24) Avatar 0:(28,28) Moving south.
0:(28,29) 1:(17,23) 2:(17,24) Avatar 1:(17,23) Moving south.
0:(28,29) 1:(17,24) 2:(17,24) Avatar 2:(17,24) Moving east.
0:(28,29) 1:(17,24) 2:(17,24) Avatar 0:(28,29) Moving east.
0:(28,29) 1:(17,24) 2:(17,24) Avatar 1:(17,24) Sleeping.
0:(28,29) 1:(17,24) 2:(17,24) Avatar 2:(17,24) Moving south.
0:(28,29) 1:(17,24) 2:(17,24) Avatar 0:(28,29) Moving south.
0:(28,29) 1:(17,24) 2:(17,24) Avatar 1:(17,24) Sleeping.
0:(28,29) 1:(17,24) 2:(17,24) Avatar 2:(17,24) Moving west.
0:(28,29) 1:(17,24) 2:(16,24) Avatar 0:(28,29) Moving west.
0:(28,29) 1:(17,24) 2:(16,24) Avatar 1:(17,24) Moving west.
0:(28,29) 1:(16,24) 2:(16,24) Avatar 2:(16,24) Moving north.
0:(28,29) 1:(16,24) 2:(16,24) Avatar 0:(28,29) Moving north.
0:(28,28) 1:(16,24) 2:(16,24) Avatar 1:(16,24) Sleeping.
0:(28,28) 1:(16,24) 2:(16,24) Avatar 2:(16,24) Moving south.
0:(28,28) 1:(16,24) 2:(16,25) Avatar 0:(28,28) Moving west.
0:(27,28) 1:(16,24) 2:(16,25) Avatar 1:(16,24) Moving south.
0:(27,28) 1:(16,25) 2:(16,25) Avatar 2:(16,25) Moving east.
0:(27,28) 1:(16,25) 2:(17,25) Avatar 0:(27,28) Moving south.
0:(27,29) 1:(16,25) 2:(17,25) Avatar 1:(16,25) Moving east.
0:(27,29) 1:(17,25) 2:(17,25) Avatar 2:(17,25) Moving east.
0:(27,29) 1:(17,25) 2:(17,25) Avatar 0:(27,29) Moving south.
0:(27,30) 1:(17,25) 2:(17,25) Avatar 1:(17,25) Sleeping.
0:(27,30) 1:(17,25) 2:(17,25) Avatar 2:(17,25) Moving south.
0:(27,30) 1:(17,25) 2:(17,25) Avatar 0:(27,30) Moving east.
0:(28,30) 1:(17,25) 2:(17,25) Avatar 1:(17,25) Moving west.
0:(28,30) 1:(16,25) 2:(17,25) Avatar 2:(17,25) Moving west.
0:(28,30) 1:(16,25) 2:(16,25) Avatar 0:(28,30) Moving east.
0:(29,30) 1:(16,25) 2:(16,25) Avatar 1:(16,25) Sleeping.
0:(29,30) 1:(16,25) 2:(16,25) Avatar 2:(16,25) Moving south.
0:(29,30) 1:(16,25) 2:(16,25) Avatar 0:(29,30) Moving north.
0:(29,29) 1:(16,25) 2:(16,25) Avatar 1:(16,25) Sleeping.
0:(29,29) 1:(16,25) 2:(16,25) Avatar 2:(16,25) Moving west.
0:(29,29) 1:(16,25) 2:(16,25) Avatar 0:(29,29) Moving north.
0:(29,28) 1:(16,25) 2:(16,25) Avatar 1:(16,25) Moving north.
0:(29,28) 1:(16,24) 2:(16,25) Avatar 2:(16,25) Moving north.
0:(29,28) 1:(16,24) 2:(16,24) Avatar 0:(29,28) Moving north.
0:(29,27) 1:(16,24) 2:(16,24) Avatar 1:(16,24) Sleeping.
0:(29,27) 1:(16,24) 2:(16,24) Avatar 2:(16,24) Moving west.
0:(29,27) 1:(16,24) 2:(15,24) Avatar 0:(29,27) Moving north.
0:(29,27) 1:(16,24) 2:(15,24) Avatar 1:(16,24) Moving west.
0:(29,27) 1:(15,24) 2:(15,24) Avatar 2:(15,24) Moving north.
0:(29,27) 1:(15,24) 2:(15,23) Avatar 0:(29,27) Moving east.
0:(29,27) 1:(15,24) 2:(15,23) Avatar 1:(15,24) Moving north.
0:(29,27) 1:(15,23) 2:(15,23) Avatar 2:(15,23) Moving north.
0:(29,27) 1:(15,23) 2:(15,23) Avatar 0:(29,27) Moving west.
0:(28,27) 1:(15,23) 2:(15,23) Avatar 1:(15,23) Sleeping.
0:(28,27) 1:(15,23) 2:(15,23) Avatar 2:(15,23) Moving east.
0:(28,27) 1:(15,23) 2:(15,23) Avatar 0:(28,27) Moving north.
0:(28,26) 1:(15,23) 2:(15,23) Avatar 1:(15,23) Sleeping.
0:(28,26) 1:(15,23) 2:(15,23) Avatar 2:(15,23) Moving west.
0:(28,26) 1:(15,23) 2:(14,23) Avatar 0:(28,26) Moving north.
0:(28,26) 1:(15,23) 2:(14,23) Avatar 1:(15,23) Moving west.
0:(28,26) 1:(14,23) 2:(14,23) Avatar 2:(14,23) Moving north.
0:(28,26) 1:(14,23) 2:(14,23) Avatar 0:(28,26) Moving east.
0:(28,26) 1:(14,23) 2:(14,23) Avatar 1:(14,23) Sleeping.
0:(28,26) 1:(14,23) 2:(14,23) Avatar 2:(14,23) Moving south.
0:(28,26) 1:(14,23) 2:(14,23) Avatar 0:(28,26) Moving west.
0:(27,26) 1:(14,23) 2:(14,23) Avatar 1:(14,23) Sleeping.
0:(27,26) 1:(14,23) 2:(14,23) Avatar 2:(14,23) Moving west.
0:(27,26) 1:(14,23) 2:(13,23) Avatar 0:(27,26) Moving north.
0:(27,25) 1:(14,23) 2:(13,23) Avatar 1:(14,23) Moving west.
0:(27,25) 1:(13,23) 2:(13,23) Avatar 2:(13,23) Moving north.
0:(27,25) 1:(13,23) 2:(13,22) Avatar 0:(27,25) Moving north.
0:(27,25) 1:(13,23) 2:(13,22) Avatar 1:(13,23) Moving north.
0:(27,25) 1:(13,22) 2:(13,22) Avatar 2:(13,22) Moving north.
0:(27,25) 1:(13,22) 2:(13,22) Avatar 0:(27,25) Moving east.
0:(27,25) 1:(13,22) 2:(13,22) Avatar 1:(13,22) Sleeping.
0:(27,25) 1:(13,22) 2:(13,22) Avatar 2:(13,22) Moving east.
0:(27,25) 1:(13,22) 2:(13,22) Avatar 0:(27,25) Moving west.
0:(27,25) 1:(13,22) 2:(13,22) Avatar 1:(13,22) Sleeping.
0:(27,25) 1:(13,22) 2:(13,22) Avatar 2:(13,22) Moving west.
0:(27,25) 1:(13,22) 2:(12,22) Avatar 0:(27,25) Moving south.
0:(27,26) 1:(13,22) 2:(12,22) Avatar 1:(13,22) Moving west.
0:(27,26) 1:(12,22) 2:(12,22) Avatar 2:(12,22) Moving north.
0:(27,26) 1:(12,22) 2:(12,22) Avatar 0:(27,26) Moving south.
0:(27,27) 1:(12,22) 2:(12,22) Avatar 1:(12,22) Sleeping.
0:(27,27) 1:(12,22) 2:(12,22) Avatar 2:(12,22) Moving south.
0:(27,27) 1:(12,22) 2:(12,23) Avatar 0:(27,27) Moving east.
0:(27,27) 1:(12,22) 2:(12,23) Avatar 1:(12,22) Moving south.
0:(27,27) 1:(12,23) 2:(12,23) Avatar 2:(12,23) Moving east.
0:(27,27) 1:(12,23) 2:(12,23) Avatar 0:(27,27) Moving west.
0:(26,27) 1:(12,23) 2:(12,23) Avatar 1:(12,23) Sleeping.
0:(26,27) 1:(12,23) 2:(12,23) Avatar 2:(12,23) Moving south.
0:(26,27) 1:(12,23) 2:(12,23) Avatar 0:(26,27) Moving north.
0:(26,27) 1:(12,23) 2:(12,23) Avatar 1:(12,23) Sleeping.
0:(26,27) 1:(12,23) 2:(12,23) Avatar 2:(12,23) Moving west.
0:(26,27) 1:(12,23) 2:(11,23) Avatar 0:(26,27) Moving west.
0:(25,27) 1:(12,23) 2:(11,23) Avatar 1:(12,23) Moving west.
0:(25,27) 1:(11,23) 2:(11,23) Avatar 2:(11,23) Moving north.
0:(25,27) 1:(11,23) 2:(11,23) Avatar 0:(25,27) Moving north.
0:(25,26) 1:(11,23) 2:(11,23) Avatar 1:(11,23) Sleeping.
0:(25,26) 1:(11,23) 2:(11,23) Avatar 2:(11,23) Moving south.
0:(25,26) 1:(11,23) 2:(11,23) Avatar 0:(25,26) Moving north.
0:(25,26) 1:(11,23) 2:(11,23) Avatar 1:(11,23) Sleeping.
0:(25,26) 1:(11,23) 2:(11,23) Avatar 2:(11,23) Moving west.
0:(25,26) 1:(11,23) 2:(11,23) Avatar 0:(25,26) Moving east.
0:(26,26) 1:(11,23) 2:(11,23) Avatar 1:(11,23) Moving east.
0:(26,26) 1:(12,23) 2:(11,23) Avatar 2:(11,23) Moving east.
0:(26,26) 1:(12,23) 2:(12,23) Avatar 0:(26,26) Moving north.
0:(26,25) 1:(12,23) 2:(12,23) Avatar 1:(12,23) Moving north.
0:(26,25) 1:(12,22) 2:(12,23) Avatar 2:(12,23) Moving north.
0:(26,25) 1:(12,22) 2:(12,22) Avatar 0:(26,25) Moving north.
0:(26,25) 1:(12,22) 2:(12,22) Avatar 1:(12,22) Sleeping.
0:(26,25) 1:(12,22) 2:(12,22) Avatar 2:(12,22) Moving west.
0:(26,25) 1:(12,22) 2:(12,22) Avatar 0:(26,25) Moving west.
0:(25,25) 1:(12,22) 2:(12,22) Avatar 1:(12,22) Moving east.
0:(25,25) 1:(13,22) 2:(12,22) Avatar 2:(12,22) Moving east.
0:(25,25) 1:(13,22) 2:(13,22) Avatar 0:(25,25) Moving north.
0:(25,25) 1:(13,22) 2:(13,22) Avatar 1:(13,22) Moving south.
0:(25,25) 1:(13,23) 2:(13,22) Avatar 2:(13,22) Moving south.
0:(25,25) 1:(13,23) 2:(13,23) Avatar 0:(25,25) Moving west.
0:(24,25) 1:(13,23) 2:(13,23) Avatar 1:(13,23) Sleeping.
0:(24,25) 1:(13,23) 2:(13,23) Avatar 2:(13,23) Moving south.
0:(24,25) 1:(13,23) 2:(13,23) Avatar 0:(24,25) Moving north.
0:(24,24) 1:(13,23) 2:(13,23) Avatar 1:(13,23) Moving east.
0:(24,24) 1:(14,23) 2:(13,23) Avatar 2:(13,23) Moving east.
0:(24,24) 1:(14,23) 2:(14,23) Avatar 0:(24,24) Moving north.
0:(24,24) 1:(14,23) 2:(14,23) Avatar 1:(14,23) Moving east.
0:(24,24) 1:(15,23) 2:(14,23) Avatar 2:(14,23) Moving east.
0:(24,24) 1:(15,23) 2:(15,23) Avatar 0:(24,24) Moving east.
0:(25,24) 1:(15,23) 2:(15,23) Avatar 1:(15,23) Moving south.
0:(25,24) 1:(15,24) 2:(15,23) Avatar 2:(15,23) Moving south.
0:(25,24) 1:(15,24) 2:(15,24) Avatar 0:(25,24) Moving north.
0:(25,23) 1:(15,24) 2:(15,24) Avatar 1:(15,24) Sleeping.
0:(25,23) 1:(15,24) 2:(15,24) Avatar 2:(15,24) Moving south.
0:(25,23) 1:(15,24) 2:(15,24) Avatar 0:(25,23) Moving north.
0:(25,23) 1:(15,24) 2:(15,24) Avatar 1:(15,24) Sleeping.
0:(25,23) 1:(15,24) 2:(15,24) Avatar 2:(15,24) Moving west.
0:(25,23) 1:(15,24) 2:(15,24) Avatar 0:(25,23) Moving east.
0:(25,23) 1:(15,24) 2:(15,24) Avatar 1:(15,24) Moving east.
0:(25,23) 1:(16,24) 2:(15,24) Avatar 2:(15,24) Moving east.
0:(25,23) 1:(16,24) 2:(16,24) Avatar 0:(25,23) Moving west.
0:(25,23) 1:(16,24) 2:(16,24) Avatar 1:(16,24) Moving east.
0:(25,23) 1:(17,24) 2:(16,24) Avatar 2:(16,24) Moving east.
0:(25,23) 1:(17,24) 2:(17,24) Avatar 0:(25,23) Moving south.
0:(25,24) 1:(17,24) 2:(17,24) Avatar 1:(17,24) Moving north.
0:(25,24) 1:(17,23) 2:(17,24) Avatar 2:(17,24) Moving north.
0:(25,24) 1:(17,23) 2:(17,23) Avatar 0:(25,24) Moving east.
0:(26,24) 1:(17,23) 2:(17,23) Avatar 1:(17,23) Moving west.
0:(26,24) 1:(16,23) 2:(17,23) Avatar 2:(17,23) Moving west.
0:(26,24) 1:(16,23) 2:(16,23) Avatar 0:(26,24) Moving north.
0:(26,23) 1:(16,23) 2:(16,23) Avatar 1:(16,23) Moving north.
0:(26,23) 1:(16,22) 2:(16,23) Avatar 2:(16,23) Moving north.
0:(26,23) 1:(16,22) 2:(16,22) Avatar 0:(26,23) Moving north.
0:(26,22) 1:(16,22) 2:(16,22) Avatar 1:(16,22) Sleeping.
0:(26,22) 1:(16,22) 2:(16,22) Avatar 2:(16,22) Moving west.
0:(26,22) 1:(16,22) 2:(16,22) Avatar 0:(26,22) Moving north.
0:(26,22) 1:(16,22) 2:(16,22) Avatar 1:(16,22) Moving north.
0:(26,22) 1:(16,21) 2:(16,22) Avatar 2:(16,22) Moving north.
0:(26,22) 1:(16,21) 2:(16,21) Avatar 0:(26,22) Moving east.
0:(27,22) 1:(16,21) 2:(16,21) Avatar 1:(16,21) Sleeping.
0:(27,22) 1:(16,21) 2:(16,21) Avatar 2:(16,21) Moving west.
0:(27,22) 1:(16,21) 2:(16,21) Avatar 0:(27,22) Moving north.
0:(27,22) 1:(16,21) 2:(16,21) Avatar 1:(16,21) Moving east.
0:(27,22) 1:(17,21) 2:(16,21) Avatar 2:(16,21) Moving east.
0:(27,22) 1:(17,21) 2:(17,21) Avatar 0:(27,22) Moving east.
0:(28,22) 1:(17,21) 2:(17,21) Avatar 1:(17,21) Moving north.
0:(28,22) 1:(17,20) 2:(17,21) Avatar 2:(17,21) Moving north.
0:(28,22) 1:(17,20) 2:(17,20) Avatar 0:(28,22) Moving north.
0:(28,22) 1:(17,20) 2:(17,20) Avatar 1:(17,20) Moving east.
0:(28,22) 1:(18,20) 2:(17,20) Avatar 2:(17,20) Moving east.
0:(28,22) 1:(18,20) 2:(18,20) Avatar 0:(28,22) Moving east.
0:(28,22) 1:(18,20) 2:(18,20) Avatar 1:(18,20) Moving north.
0:(28,22) 1:(18,19) 2:(18,20) Avatar 2:(18,20) Moving north.
0:(28,22) 1:(18,19) 2:(18,19) Avatar 0:(28,22) Moving south.
0:(28,22) 1:(18,19) 2:(18,19) Avatar 1:(18,19) Moving east.
0:(28,22) 1:(19,19) 2:(18,19) Avatar 2:(18,19) Moving east.
0:(28,22) 1:(19,19) 2:(19,19) Avatar 0:(28,22) Moving west.
0:(27,22) 1:(19,19) 2:(19,19) Avatar 1:(19,19) Moving south.
0:(27,22) 1:(19,20) 2:(19,19) Avatar 2:(19,19) Moving south.
0:(27,22) 1:(19,20) 2:(19,20) Avatar 0:(27,22) Moving south.
0:(27,22) 1:(19,20) 2:(19,20) Avatar 1:(19,20) Moving south.
0:(27,22) 1:(19,21) 2:(19,20) Avatar 2:(19,20) Moving south.
0:(27,22) 1:(19,21) 2:(19,21) Avatar 0:(27,22) Moving west.
0:(26,22) 1:(19,21) 2:(19,21) Avatar 1:(19,21) Moving west.
0:(26,22) 1:(18,21) 2:(19,21) Avatar 2:(19,21) Moving west.
0:(26,22) 1:(18,21) 2:(18,21) Avatar 0:(26,22) Moving west.
0:(25,22) 1:(18,21) 2:(18,21) Avatar 1:(18,21) Moving south.
0:(25,22) 1:(18,22) 2:(18,21) Avatar 2:(18,21) Moving south.
0:(25,22) 1:(18,22) 2:(18,22) Avatar 0:(25,22) Moving north.
0:(25,22) 1:(18,22) 2:(18,22) Avatar 1:(18,22) Moving south.
0:(25,22) 1:(18,23) 2:(18,22) Avatar 2:(18,22) Moving south.
0:(25,22) 1:(18,23) 2:(18,23) Avatar 0:(25,22) Moving west.
0:(24,22) 1:(18,23) 2:(18,23) Avatar 1:(18,23) Moving south.
0:(24,22) 1:(18,24) 2:(18,23) Avatar 2:(18,23) Moving south.
0:(24,22) 1:(18,24) 2:(18,24) Avatar 0:(24,22) Moving north.
0:(24,22) 1:(18,24) 2:(18,24) Avatar 1:(18,24) Moving east.
0:(24,22) 1:(19,24) 2:(18,24) Avatar 2:(18,24) Moving east.
0:(24,22) 1:(19,24) 2:(19,24) Avatar 0:(24,22) Moving south.
0:(24,23) 1:(19,24) 2:(19,24) Avatar 1:(19,24) Moving south.
0:(24,23) 1:(19,25) 2:(19,24) Avatar 2:(19,24) Moving south.
0:(24,23) 1:(19,25) 2:(19,25) Avatar 0:(24,23) Moving west.
0:(23,23) 1:(19,25) 2:(19,25) Avatar 1:(19,25) Moving west.
0:(23,23) 1:(18,25) 2:(19,25) Avatar 2:(19,25) Moving west.
0:(23,23) 1:(18,25) 2:(18,25) Avatar 0:(23,23) Moving north.
0:(23,23) 1:(18,25) 2:(18,25) Avatar 1:(18,25) Moving south.
0:(23,23) 1:(18,26) 2:(18,25) Avatar 2:(18,25) Moving south.
0:(23,23) 1:(18,26) 2:(18,26) Avatar 0:(23,23) Moving west.
0:(22,23) 1:(18,26) 2:(18,26) Avatar 1:(18,26) Sleeping.
0:(22,23) 1:(18,26) 2:(18,26) Avatar 2:(18,26) Moving east.
0:(22,23) 1:(18,26) 2:(18,26) Avatar 0:(22,23) Moving north.
0:(22,23) 1:(18,26) 2:(18,26) Avatar 1:(18,26) Sleeping.
0:(22,23) 1:(18,26) 2:(18,26) Avatar 2:(18,26) Moving west.
0:(22,23) 1:(18,26) 2:(17,26) Avatar 0:(22,23) Moving west.
0:(21,23) 1:(18,26) 2:(17,26) Avatar 1:(18,26) Moving west.
0:(21,23) 1:(17,26) 2:(17,26) Avatar 2:(17,26) Moving west.
0:(21,23) 1:(17,26) 2:(16,26) Avatar 0:(21,23) Moving north.
0:(21,22) 1:(17,26) 2:(16,26) Avatar 1:(17,26) Moving west.
0:(21,22) 1:(16,26) 2:(16,26) Avatar 2:(16,26) Moving south.
0:(21,22) 1:(16,26) 2:(16,27) Avatar 0:(21,22) Moving north.
0:(21,21) 1:(16,26) 2:(16,27) Avatar 1:(16,26) Moving south.
0:(21,21) 1:(16,27) 2:(16,27) Avatar 2:(16,27) Moving south.
0:(21,21) 1:(16,27) 2:(16,27) Avatar 0:(21,21) Moving east.
0:(22,21) 1:(16,27) 2:(16,27) Avatar 1:(16,27) Sleeping.
0:(22,21) 1:(16,27) 2:(16,27) Avatar 2:(16,27) Moving west.
0:(22,21) 1:(16,27) 2:(15,27) Avatar 0:(22,21) Moving east.
0:(22,21) 1:(16,27) 2:(15,27) Avatar 1:(16,27) Moving west.
0:(22,21) 1:(15,27) 2:(15,27) Avatar 2:(15,27) Moving north.
0:(22,21) 1:(15,27) 2:(15,26) Avatar 0:(22,21) Moving south.
0:(22,22) 1:(15,27) 2:(15,26) Avatar 1:(15,27) Moving north.
0:(22,22) 1:(15,26) 2:(15,26) Avatar 2:(15,26) Moving north.
0:(22,22) 1:(15,26) 2:(15,25) Avatar 0:(22,22) Moving east.
0:(23,22) 1:(15,26) 2:(15,25) Avatar 1:(15,26) Moving north.
0:(23,22) 1:(15,25) 2:(15,25) Avatar 2:(15,25) Moving west.
0:(23,22) 1:(15,25) 2:(14,25) Avatar 0:(23,22) Moving north.
0:(23,21) 1:(15,25) 2:(14,25) Avatar 1:(15,25) Moving west.
0:(23,21) 1:(14,25) 2:(14,25) Avatar 2:(14,25) Moving north.
0:(23,21) 1:(14,25) 2:(14,24) Avatar 0:(23,21) Moving east.
0:(24,21) 1:(14,25) 2:(14,24) Avatar 1:(14,25) Moving north.
0:(24,21) 1:(14,24) 2:(14,24) Avatar 2:(14,24) Moving west.
0:(24,21) 1:(14,24) 2:(13,24) Avatar 0:(24,21) Moving east.
0:(25,21) 1:(14,24) 2:(13,24) Avatar 1:(14,24) Moving west.
0:(25,21) 1:(13,24) 2:(13,24) Avatar 2:(13,24) Moving south.
0:(25,21) 1:(13,24) 2:(13,24) Avatar 0:(25,21) Moving north.
0:(25,20) 1:(13,24) 2:(13,24) Avatar 1:(13,24) Sleeping.
0:(25,20) 1:(13,24) 2:(13,24) Avatar 2:(13,24) Moving west.
0:(25,20) 1:(13,24) 2:(12,24) Avatar 0:(25,20) Moving north.
0:(25,19) 1:(13,24) 2:(12,24) Avatar 1:(13,24) Moving west.
0:(25,19) 1:(12,24) 2:(12,24) Avatar 2:(12,24) Moving south.
0:(25,19) 1:(12,24) 2:(12,24) Avatar 0:(25,19) Moving north.
0:(25,19) 1:(12,24) 2:(12,24) Avatar 1:(12,24) Sleeping.
0:(25,19) 1:(12,24) 2:(12,24) Avatar 2:(12,24) Moving west.
0:(25,19) 1:(12,24) 2:(11,24) Avatar 0:(25,19) Moving east.
0:(25,19) 1:(12,24) 2:(11,24) Avatar 1:(12,24) Moving west.
0:(25,19) 1:(11,24) 2:(11,24) Avatar 2:(11,24) Moving south.
0:(25,19) 1:(11,24) 2:(11,24) Avatar 0:(25,19) Moving west.
0:(24,19) 1:(11,24) 2:(11,24) Avatar 1:(11,24) Sleeping.
0:(24,19) 1:(11,24) 2:(11,24) Avatar 2:(11,24) Moving west.
0:(24,19) 1:(11,24) 2:(10,24) Avatar 0:(24,19) Moving north.
0:(24,18) 1:(11,24) 2:(10,24) Avatar 1:(11,24) Moving west.
0:(24,18) 1:(10,24) 2:(10,24) Avatar 2:(10,24) Moving north.
0:(24,18) 1:(10,24) 2:(10,23) Avatar 0:(24,18) Moving north.
0:(24,18) 1:(10,24) 2:(10,23) Avatar 1:(10,24) Moving north.
0:(24,18) 1:(10,23) 2:(10,23) Avatar 2:(10,23) Moving north.
0:(24,18) 1:(10,23) 2:(10,23) Avatar 0:(24,18) Moving east.
0:(25,18) 1:(10,23) 2:(10,23) Avatar 1:(10,23) Sleeping.
0:(25,18) 1:(10,23) 2:(10,23) Avatar 2:(10,23) Moving west.
0:(25,18) 1:(10,23) 2:(9,23) Avatar 0:(25,18) Moving north.
0:(25,17) 1:(10,23) 2:(9,23) Avatar 1:(10,23) Moving west.
0:(25,17) 1:(9,23) 2:(9,23) Avatar 2:(9,23) Moving north.
0:(25,17) 1:(9,23) 2:(9,23) Avatar 0:(25,17) Moving north.
0:(25,17) 1:(9,23) 2:(9,23) Avatar 1:(9,23) Sleeping.
0:(25,17) 1:(9,23) 2:(9,23) Avatar 2:(9,23) Moving south.
0:(25,17) 1:(9,23) 2:(9,23) Avatar 0:(25,17) Moving east.
0:(26,17) 1:(9,23) 2:(9,23) Avatar 1:(9,23) Sleeping.
0:(26,17) 1:(9,23) 2:(9,23) Avatar 2:(9,23) Moving west.
0:(26,17) 1:(9,23) 2:(8,23) Avatar 0:(26,17) Moving north.
0:(26,17) 1:(9,23) 2:(8,23) Avatar 1:(9,23) Moving west.
0:(26,17) 1:(8,23) 2:(8,23) Avatar 2:(8,23) Moving north.
0:(26,17) 1:(8,23) 2:(8,22) Avatar 0:(26,17) Moving east.
0:(27,17) 1:(8,23) 2:(8,22) Avatar 1:(8,23) Moving north.
0:(27,17) 1:(8,22) 2:(8,22) Avatar 2:(8,22) Moving north.
0:(27,17) 1:(8,22) 2:(8,22) Avatar 0:(27,17) Moving north.
0:(27,17) 1:(8,22) 2:(8,22) Avatar 1:(8,22) Sleeping.
0:(27,17) 1:(8,22) 2:(8,22) Avatar 2:(8,22) Moving east.
0:(27,17) 1:(8,22) 2:(9,22) Avatar 0:(27,17) Moving east.
0:(28,17) 1:(8,22) 2:(9,22) Avatar 1:(8,22) Moving east.
0:(28,17) 1:(9,22) 2:(9,22) Avatar 2:(9,22) Moving north.
0:(28,17) 1:(9,22) 2:(9,22) Avatar 0:(28,17) Moving north.
0:(28,17) 1:(9,22) 2:(9,22) Avatar 1:(9,22) Sleeping.
0:(28,17) 1:(9,22) 2:(9,22) Avatar 2:(9,22) Moving east.
0:(28,17) 1:(9,22) 2:(10,22) Avatar 0:(28,17) Moving east.
0:(28,17) 1:(9,22) 2:(10,22) Avatar 1:(9,22) Moving east.
0:(28,17) 1:(10,22) 2:(10,22) Avatar 2:(10,22) Moving north.
0:(28,17) 1:(10,22) 2:(10,22) Avatar 0:(28,17) Moving south.
0:(28,18) 1:(10,22) 2:(10,22) Avatar 1:(10,22) Sleeping.
